Fecha,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
2023-12-01 13:05:00,0.888,9.918,8.19,8.4,12.2325,10.2375,0.804,16.065,1.188,16.59
2023-12-01 13:10:00,0.798,10.008,8.19,7.575,11.2875,10.9725,0.81,14.28,1.248,17.955
2023-12-01 13:15:00,0.78,9.648,8.586,7.425,11.1825,10.92,0.798,15.12,1.308,16.485
2023-12-01 13:20:00,0.828,9.594,8.316,8.025,11.9175,11.4975,0.804,15.645,1.212,15.12
2023-12-01 13:25:00,0.828,9.846,8.172,7.425,11.445,11.2875,0.804,13.3875,1.212,16.7475
2023-12-01 13:30:00,0.828,9.756,8.622,7.725,11.4975,11.025,0.81,14.8575,1.308,17.08875
2023-12-01 13:35:00,0.792,9.468,7.848,7.05,11.1825,10.71,0.804,15.225,1.14,15.67125
2023-12-01 13:40:00,0.87,9.45,7.884,7.8,11.865,10.9725,0.798,15.8025,1.296,17.535
2023-12-01 13:45:00,0.834,9.9,8.01,8.025,12.0225,11.2875,0.798,13.86,1.224,17.3775
2023-12-01 13:50:00,0.9,9.216,7.866,7.35,12.6525,11.445,0.816,16.0125,1.332,17.1675
2023-12-01 13:55:00,0.768,9.522,8.064,7.875,12.495,11.13,0.81,16.5375,1.332,18.40125
2023-12-01 14:00:00,0.768,9.342,7.794,7.575,12.2325,11.8125,0.804,16.275,1.368,17.61375
2023-12-01 14:05:00,0.858,9.198,8.1,7.425,11.97,11.8125,0.798,15.4875,1.248,15.12
2023-12-01 14:10:00,0.744,9.252,8.064,7.95,11.235,11.8125,0.81,14.3325,1.08,18.585
2023-12-01 14:15:00,0.774,9.936,8.298,6.9,11.025,12.915,0.81,14.2275,1.164,15.2775
2023-12-01 14:20:00,0.852,9.216,8.586,7.275,11.655,11.97,0.804,15.4875,1.08,13.83375
2023-12-01 14:25:00,0.942,9.216,9.198,7.575,11.7075,12.075,0.804,15.96,1.26,16.98375
2023-12-01 14:30:00,0.804,9.522,9.216,7.575,12.18,11.9175,0.804,16.17,1.08,16.6425
2023-12-01 14:35:00,0.9,9.144,8.838,7.8,11.97,12.39,0.798,16.275,1.236,16.24875
2023-12-01 14:40:00,0.768,8.748,8.568,7.575,11.97,11.8125,0.804,14.4375,1.392,17.66625
2023-12-01 14:45:00,0.762,9.576,8.622,7.65,12.0225,11.9175,0.804,15.2775,1.14,15.015
2023-12-01 14:50:00,0.834,9.648,8.442,7.8,11.8125,11.7075,0.798,15.75,1.068,13.78125
2023-12-01 14:55:00,0.93,9.918,8.604,7.65,12.285,11.4975,0.798,16.6425,1.14,15.9075
2023-12-01 15:00:00,0.93,8.748,8.172,7.65,12.1275,11.1825,0.804,16.8525,1.152,16.09125
2023-12-01 15:05:00,0.774,8.874,7.956,7.275,12.915,11.34,0.798,14.2275,1.164,16.065
2023-12-01 15:10:00,0.822,9.09,8.118,8.25,12.3375,11.445,0.816,15.225,1.164,16.8525
2023-12-01 15:15:00,0.858,9.702,8.46,7.2,11.76,11.235,0.804,14.3325,1.188,15.1725
2023-12-01 15:20:00,0.774,10.332,8.766,7.8,12.1275,11.8125,0.81,15.0675,1.236,13.9125
2023-12-01 15:25:00,0.804,10.062,8.748,7.35,12.1275,12.0225,0.798,16.38,1.104,15.51375
2023-12-01 15:30:00,0.81,10.368,8.946,7.65,12.3375,11.76,0.798,16.5375,1.128,15.645
2023-12-01 15:35:00,0.768,10.602,8.442,8.175,12.5475,12.2325,0.804,15.54,1.092,14.62125
2023-12-01 15:40:00,0.888,10.152,8.478,7.575,12.7575,12.0225,0.822,14.7,1.188,15.855
2023-12-01 15:45:00,0.792,9.63,8.154,7.425,12.1275,12.075,0.81,16.065,1.188,15.2775
2023-12-01 15:50:00,0.87,10.404,8.136,6.9,12.4425,11.76,0.744,15.9075,1.188,13.965
2023-12-01 15:55:00,0.816,10.098,7.812,7.575,12.285,11.97,0.672,15.225,1.104,14.30625
2023-12-01 16:00:00,0.87,9.936,7.866,7.275,12.39,12.0225,0.846,14.9625,1.26,14.8575
2023-12-01 16:05:00,0.786,10.062,8.658,6.975,12.4425,11.9175,0.984,13.5975,1.26,13.04625
2023-12-01 16:10:00,0.852,9.9,8.37,7.425,11.655,12.0225,1.044,14.6475,1.08,14.0175
2023-12-01 16:15:00,0.84,9.99,8.784,6.75,11.9175,12.1275,1.038,15.2775,1.164,16.14375
2023-12-01 16:20:00,0.888,9.936,8.37,6.9,10.9725,12.2325,1.056,14.91,1.14,14.77875
2023-12-01 16:25:00,0.948,8.604,8.55,7.65,11.55,12.285,1.05,15.645,1.104,14.7
2023-12-01 16:30:00,0.768,9.468,8.226,7.125,11.9175,12.1275,1.056,14.9625,1.092,15.33
2023-12-01 16:35:00,0.81,10.692,7.83,7.35,11.1825,12.285,1.08,15.75,1.152,14.5425
2023-12-01 16:40:00,0.894,10.458,7.812,7.5,11.34,11.97,1.11,14.9625,1.164,14.56875
2023-12-01 16:45:00,0.834,9.36,8.064,7.275,10.92,12.0225,1.11,14.385,1.128,14.56875
2023-12-01 16:50:00,0.852,9.612,7.92,7.125,10.9725,12.075,1.134,16.065,1.068,13.67625
2023-12-01 16:55:00,1.068,9.918,7.65,7.2,11.7075,11.655,1.176,15.9075,1.152,13.88625
2023-12-01 17:00:00,0.81,10.188,7.65,7.725,11.97,11.655,1.206,14.805,1.2,13.4925
2023-12-01 17:05:00,0.852,9.306,7.47,7.8,12.2325,11.865,1.17,15.3825,1.176,12.94125
2023-12-01 17:10:00,0.858,9.864,7.956,6.825,11.865,11.2875,1.212,15.75,1.104,14.0175
2023-12-01 17:15:00,1.236,9.648,8.082,7.35,11.865,12.495,1.26,15.6975,1.188,13.57125
2023-12-01 17:20:00,1.56,9.252,8.172,8.175,12.39,11.8125,1.302,16.485,1.152,12.94125
2023-12-01 17:25:00,1.41,9.702,8.208,6.525,12.075,11.445,1.296,15.645,1.2,13.30875
2023-12-01 17:30:00,1.692,10.422,8.46,6.825,12.2325,11.865,1.302,15.33,1.116,12.915
2023-12-01 17:35:00,1.626,10.44,8.28,7.05,12.1275,12.1275,1.41,16.9575,1.092,13.23
2023-12-01 17:40:00,1.734,10.062,8.316,6.9,10.6575,12.2325,1.41,16.6425,1.332,12.99375
2023-12-01 17:45:00,1.674,9.72,7.974,7.2,11.6025,12.0225,1.59,16.38,1.32,14.14875
2023-12-01 17:50:00,1.632,10.098,7.92,6.45,11.3925,12.81,1.83,15.75,1.392,13.2825
2023-12-01 17:55:00,1.914,10.188,7.992,6.9,11.3925,11.9175,1.77,15.9075,1.488,13.86
2023-12-01 18:00:00,1.74,10.17,7.902,6.45,10.9725,12.1275,1.734,16.695,1.524,13.1775
2023-12-01 18:05:00,1.776,9.612,7.704,6.9,11.34,12.285,1.722,16.3275,1.38,13.335
2023-12-01 18:10:00,1.704,8.874,7.812,7.05,11.13,12.3375,1.722,15.5925,1.38,13.83375
2023-12-01 18:15:00,1.626,8.622,7.722,6.0,11.3925,12.18,1.734,16.9575,1.476,12.67875
2023-12-01 18:20:00,1.716,10.062,7.884,5.85,11.34,12.0225,1.716,17.7975,1.404,13.7025
2023-12-01 18:25:00,1.602,10.782,7.542,6.375,12.18,12.075,1.74,16.4325,1.38,13.4925
2023-12-01 18:30:00,1.65,10.35,7.848,6.0,12.8625,11.7075,1.728,16.17,1.32,13.965
